post_id,count_likes_post,count_views_post,share_likes_views_post,tfidf_mean,tfidf_max,tfidf_std,long_text,coun_word,unique_count_word,topic_covid,topic_entertainment,topic_movie,topic_politics,topic_sport,topic_tech
19,39.0,379.0,0.10290237467018469,0.0001959142775815474,0.35090291962546377,0.00438755339461976,2072,360,202,False,False,False,False,False,False
2367,48.0,355.0,0.1352112676056338,6.840304333060919e-05,0.3954866320474596,0.004391392514734112,139,14,14,True,False,False,False,False,False
2368,30.0,260.0,0.11538461538461539,7.556969744233673e-05,0.3695606084127983,0.004391275033020382,139,18,18,True,False,False,False,False,False
2369,24.0,304.0,0.07894736842105263,7.652952573665979e-05,0.36231181597052176,0.004391258410352344,137,21,18,True,False,False,False,False,False
2370,40.0,315.0,0.12698412698412698,4.1548926069108384e-05,0.6312836510147597,0.004391728689427683,48,7,7,True,False,False,False,False,False
20,52.0,378.0,0.13756613756613756,0.0002020751931871597,0.39308660482431046,0.0043872739612540795,1962,327,192,False,False,False,False,False,False
21,69.0,839.0,0.08224076281287247,0.0001847640276321565,0.4031733663691956,0.004388037083810119,1324,208,147,False,False,False,False,False,False
22,34.0,416.0,0.08173076923076923,0.00023848381524216926,0.40606155261937116,0.004385445549162276,3003,482,291,False,False,False,False,False,False
23,28.0,357.0,0.0784313725490196,0.00020366548486406734,0.2882884390958662,0.004387200424538954,2161,374,212,False,False,False,False,False,False
24,78.0,849.0,0.09187279151943463,0.00017638991927154302,0.28918808450327615,0.004388381682486046,1032,162,116,False,False,False,False,False,False
25,46.0,363.0,0.12672176308539945,0.00022126263748503317,0.3376565102451972,0.0043863481439635945,2131,352,210,False,False,False,False,False,False
2371,107.0,644.0,0.16614906832298137,7.176317600030803e-05,0.44798086194793374,0.004391338889378731,139,20,17,True,False,False,False,False,False
2372,33.0,316.0,0.10443037974683544,7.272966084040593e-05,0.4342176392838799,0.004391322988716922,139,19,18,True,False,False,False,False,False
2373,27.0,319.0,0.08463949843260188,6.331729304698313e-05,0.47698162591584076,0.004391468787911499,94,14,14,True,False,False,False,False,False
26,48.49561403508772,434.5285087719298,0.11446603795764047,0.0001984797000313885,0.23828467350347596,0.0043874380911273405,1241,203,145,False,False,False,False,False,False
27,48.49561403508772,434.5285087719298,0.11446603795764047,0.00022217763731837757,0.44708949345428245,0.004386301892514389,3532,617,339,False,False,False,False,False,False
28,40.0,603.0,0.06633499170812604,0.00016293727181168637,0.38397711579133864,0.0043889017578722656,1229,214,142,False,False,False,False,False,False
29,48.49561403508772,434.5285087719298,0.11446603795764047,0.00020003308382612948,0.3013324553040183,0.0043873675433196485,1540,266,169,False,False,False,False,False,False
30,91.0,616.0,0.14772727272727273,0.0003012850320298179,0.3160170733957003,0.004381578998976794,5160,859,475,False,False,False,False,False,False
31,48.49561403508772,434.5285087719298,0.11446603795764047,0.00017135758499026222,0.3340409023594696,0.004388581066001398,1477,247,146,False,False,False,False,False,False
32,52.0,359.0,0.14484679665738162,0.00017893474326848656,0.4793989187132519,0.004388278654831657,2021,320,193,False,False,False,False,False,False
583,53.0,385.0,0.13766233766233765,0.0001587460957712264,0.3622882113561266,0.004389055350742011,872,158,105,False,True,False,False,False,False
33,48.49561403508772,434.5285087719298,0.11446603795764047,0.00018909657225977235,0.4821518206466929,0.0043878525136060885,1399,237,170,False,False,False,False,False,False
34,43.0,377.0,0.11405835543766578,0.00022176894743845097,0.343922052717567,0.004386322574634898,1809,286,197,False,False,False,False,False,False
35,42.0,428.0,0.09813084112149532,0.00029621128913709534,0.29035041791049526,0.004381924927128195,4605,732,424,False,False,False,False,False,False
36,44.0,380.0,0.11578947368421053,0.00023979325305574576,0.4172794351681253,0.004385374144880758,2821,468,274,False,False,False,False,False,False
37,145.0,1032.0,0.14050387596899225,0.00026538833501291793,0.3090539950491883,0.0043838996597137985,3634,604,347,False,False,False,False,False,False
38,44.0,370.0,0.11891891891891893,0.00015519004027473576,0.5596181646877612,0.0043891825259607525,1195,194,138,False,False,False,False,False,False
44,60.0,396.0,0.15151515151515152,0.00016459620430606678,0.4486816559276945,0.004388839856309149,1225,207,128,False,False,False,False,False,False
2374,108.0,788.0,0.13705583756345177,7.641510773180497e-05,0.39201975930545113,0.004391260402903706,138,17,17,True,False,False,False,False,False
39,32.0,410.0,0.07804878048780488,0.00020921288458891998,0.4262741437085804,0.0043869393845506555,2652,443,254,False,False,False,False,False,False
40,48.49561403508772,434.5285087719298,0.11446603795764047,0.00016956656994365305,0.5528841060940327,0.004388650632387732,1737,289,172,False,False,False,False,False,False
41,44.0,367.0,0.11989100817438691,0.00024161209516552739,0.4121537588209106,0.0043852743118611625,2799,478,274,False,False,False,False,False,False
42,48.49561403508772,434.5285087719298,0.11446603795764047,0.00020606259050788894,0.49818746043139844,0.004387088488233725,2594,420,258,False,False,False,False,False,False
43,50.0,552.0,0.09057971014492754,0.00022317329226674383,0.42903384609794226,0.004386251346698965,2993,479,298,False,False,False,False,False,False
2375,27.0,303.0,0.0891089108910891,6.85698947247499e-05,0.42210628251246873,0.004391389912583159,140,17,17,True,False,False,False,False,False
2376,103.0,747.0,0.13788487282463185,7.488206376395026e-05,0.38637433070703403,0.0043912868126923955,140,20,20,True,False,False,False,False,False
2377,31.0,321.0,0.09657320872274143,7.592705949529256e-05,0.41452241356122393,0.00439126886861145,139,19,19,True,False,False,False,False,False
45,56.0,388.0,0.14432989690721648,0.0001688130070065163,0.3263359154140051,0.004388679683397397,1065,185,118,False,False,False,False,False,False
46,38.0,322.0,0.11801242236024845,0.00019166409920399514,0.27471823419083247,0.004387741112221183,1623,273,164,False,False,False,False,False,False
47,52.0,398.0,0.1306532663316583,0.00014245354275266243,0.3846108289875088,0.004389614354696424,960,155,101,False,False,False,False,False,False
48,32.0,369.0,0.08672086720867209,0.00022546482331691696,0.2933410268361307,0.0043861341530152,1979,340,214,False,False,False,False,False,False
49,115.0,1000.0,0.115,0.00016381083391613972,0.4559010074618229,0.004388869239962769,1283,232,139,False,False,False,False,False,False
50,32.0,286.0,0.11188811188811189,0.00023609257788523354,0.443280416294559,0.004385574932602015,4443,728,381,False,False,False,False,False,False
2378,122.0,956.0,0.12761506276150628,7.336555726231839e-05,0.3913832091025067,0.004391312410863894,138,22,21,True,False,False,False,False,False
2379,33.0,307.0,0.10749185667752444,7.625877063585275e-05,0.403579201291571,0.0043912631206408925,140,22,20,True,False,False,False,False,False
2380,106.0,741.0,0.14304993252361672,7.665154794237089e-05,0.39022051871162905,0.004391256282090323,139,18,17,True,False,False,False,False,False
2381,88.0,623.0,0.14125200642054575,7.204303916702272e-05,0.42071455886145454,0.004391334306939891,118,17,16,True,False,False,False,False,False
2382,112.0,794.0,0.14105793450881612,7.620359900920927e-05,0.3760839156732871,0.004391264078405867,136,20,20,True,False,False,False,False,False
51,25.0,332.0,0.07530120481927711,0.0002282016929784845,0.3160029292745225,0.004385992610814735,2935,476,275,False,False,False,False,False,False
52,71.0,405.0,0.17530864197530865,0.00019211817154068275,0.3249015579192173,0.004387721254018258,1826,301,182,False,False,False,False,False,False
53,49.0,372.0,0.13172043010752688,0.00017074502621113751,0.42786927401213787,0.0043886049413024,1164,186,132,False,False,False,False,False,False
54,41.0,365.0,0.11232876712328767,0.00018923256080605942,0.27837630756653065,0.004387846651004391,1377,235,158,False,False,False,False,False,False
55,52.0,378.0,0.13756613756613756,0.00019133550263363352,0.39035452612927096,0.004387755453558417,1490,235,158,False,False,False,False,False,False
56,37.0,565.0,0.06548672566371681,0.00017072665322602484,0.4205077080650852,0.0043886056560914575,1410,227,150,False,False,False,False,False,False
57,49.0,380.0,0.12894736842105264,0.0002001020068043075,0.4766790583921549,0.004387364400374394,1888,319,197,False,False,False,False,False,False
59,46.0,372.0,0.12365591397849462,0.00017606245931203404,0.5033911757220355,0.004388394832421151,1741,282,179,False,False,False,False,False,False
60,36.0,388.0,0.09278350515463918,0.00022705660347774662,0.3304135149989221,0.004386052039547278,2170,376,232,False,False,False,False,False,False
67,24.0,314.0,0.07643312101910828,0.0001942220160630044,0.2537824156691857,0.004387628630966404,1270,213,154,False,False,False,False,False,False
61,47.0,395.0,0.1189873417721519,0.00019698105479487384,0.34214298197948795,0.004387505630634743,1870,322,174,False,False,False,False,False,False
62,36.0,388.0,0.09278350515463918,0.00026998356717641944,0.30768558779714356,0.004383619060577046,2960,500,302,False,False,False,False,False,False
63,80.0,860.0,0.09302325581395349,0.00017633247900017383,0.45647298811219544,0.004388383990907055,1615,266,175,False,False,False,False,False,False
64,57.0,390.0,0.14615384615384616,0.00020031339377972446,0.4552424170902785,0.0043873547541852746,1605,268,181,False,False,False,False,False,False
65,39.0,353.0,0.11048158640226628,0.00024636071969960524,0.279954330646173,0.004385010101537826,2583,432,248,False,False,False,False,False,False
66,48.0,333.0,0.14414414414414414,0.0002526372253362237,0.2748823815040361,0.004384652965420878,2849,489,302,False,False,False,False,False,False
1473,114.0,1065.0,0.10704225352112676,0.00016213486323272684,0.37949451642814613,0.0043889314737102225,947,161,111,False,False,False,False,True,False
68,55.0,377.0,0.14588859416445624,0.0001998584795477869,0.4505782537785501,0.00438737550056438,2440,395,232,False,False,False,False,False,False
69,48.49561403508772,434.5285087719298,0.11446603795764047,0.0002104706056180263,0.5448214455836334,0.004386879223203036,2468,430,251,False,False,False,False,False,False
70,36.0,378.0,0.09523809523809523,0.0002085927653901015,0.40552759064709043,0.004386968914071147,1609,278,185,False,False,False,False,False,False
71,51.0,399.0,0.12781954887218044,0.00021876462044313522,0.4215121984365386,0.0043864734395231515,2005,319,204,False,False,False,False,False,False
82,46.0,418.0,0.11004784688995216,0.00017985062100554533,0.3130683809450851,0.004388241213621193,1286,206,138,False,False,False,False,False,False
72,60.0,419.0,0.1431980906921241,0.00021602563186206444,0.3601605810896943,0.004386609182635066,1747,305,191,False,False,False,False,False,False
74,40.0,390.0,0.10256410256410256,0.00018506666334462517,0.3868737385690288,0.004388024330483842,1783,287,190,False,False,False,False,False,False
75,52.0,335.0,0.15522388059701492,0.0001782101869280242,0.4770184100761528,0.004388308139143693,1735,279,183,False,False,False,False,False,False
76,53.0,400.0,0.1325,0.00018375573435824876,0.5286460272543264,0.0043880794232659635,1465,241,169,False,False,False,False,False,False
102,50.0,374.0,0.13368983957219252,0.00025148526788878914,0.38677548838077913,0.004384719187682898,2848,504,308,False,False,False,False,False,False
285,52.0,349.0,0.1489971346704871,0.0001812874214162716,0.3228940212912657,0.004388182091212251,1007,175,126,False,False,False,False,False,False
77,38.0,382.0,0.09947643979057591,0.00019187448856056662,0.4990670979266578,0.004387731916997585,1640,272,174,False,False,False,False,False,False
78,41.0,369.0,0.1111111111111111,0.0001935313894915164,0.4643914027880995,0.004387659147664181,1718,297,181,False,False,False,False,False,False
79,48.0,379.0,0.1266490765171504,0.0001704182500071394,0.379635802815561,0.004388617642819228,1299,214,156,False,False,False,False,False,False
80,48.49561403508772,434.5285087719298,0.11446603795764047,0.00020383847711914773,0.30105125690706125,0.004387192390361453,1385,225,155,False,False,False,False,False,False
81,28.0,382.0,0.07329842931937172,0.00015663720274124382,0.42264469466538696,0.004389131119198546,1451,250,142,False,False,False,False,False,False
2383,36.0,346.0,0.10404624277456648,7.69450795588467e-05,0.46864035718258634,0.004391251148537437,140,22,21,True,False,False,False,False,False
2384,29.0,312.0,0.09294871794871795,7.790752721382927e-05,0.4081485652021421,0.0043912341786795095,140,20,19,True,False,False,False,False,False
83,43.0,396.0,0.10858585858585859,0.00020242240382848322,0.2868160499789812,0.004387257955172908,1487,246,162,False,False,False,False,False,False
84,48.0,385.0,0.12467532467532468,0.00017331382622550853,0.331513016026225,0.004388504245462087,1042,165,117,False,False,False,False,False,False
85,43.0,364.0,0.11813186813186813,0.00022845398722567395,0.3365494284904229,0.0043859794767554935,1724,291,200,False,False,False,False,False,False
87,49.0,379.0,0.12928759894459102,0.00019726840560299028,0.41989459272496577,0.004387492720330203,1881,309,193,False,False,False,False,False,False
88,48.49561403508772,434.5285087719298,0.11446603795764047,0.00018416563006110723,0.3519084714440536,0.004388062239246825,2363,370,194,False,False,False,False,False,False
2385,36.0,306.0,0.11764705882352941,7.877946460888741e-05,0.3662002430687038,0.004391218622518767,144,23,22,True,False,False,False,False,False
2386,28.0,318.0,0.0880503144654088,7.763042030907289e-05,0.4155957985490925,0.004391239086253711,139,19,18,True,False,False,False,False,False
89,38.0,396.0,0.09595959595959595,0.00018525306850846165,0.47034330073643044,0.004388016464805924,1862,295,186,False,False,False,False,False,False
92,48.49561403508772,434.5285087719298,0.11446603795764047,0.0001845817073549464,0.359434575636848,0.004388044756848956,1866,294,179,False,False,False,False,False,False
93,50.0,397.0,0.12594458438287154,0.00020432274451065186,0.25697226990285765,0.0043871698634627004,1538,253,163,False,False,False,False,False,False
94,41.0,356.0,0.1151685393258427,0.0001755504964501871,0.3418268341203768,0.004388415342466548,1331,217,143,False,False,False,False,False,False
95,48.49561403508772,434.5285087719298,0.11446603795764047,0.0001815295174952172,0.4602715077226096,0.004388172082892561,1302,210,150,False,False,False,False,False,False
96,36.0,585.0,0.06153846153846154,0.00019555795410040926,0.536337342384708,0.004387569290779093,1831,294,193,False,False,False,False,False,False
97,43.0,366.0,0.11748633879781421,0.00023473532205168853,0.29782342733919154,0.004385647788341077,2699,473,262,False,False,False,False,False,False
98,50.0,404.0,0.12376237623762376,0.00017269748683027485,0.3767324292080643,0.004388528543013271,1431,224,138,False,False,False,False,False,False
99,52.0,418.0,0.12440191387559808,0.00017745564300560335,0.5183105665694515,0.004388338716366953,1586,249,162,False,False,False,False,False,False
100,47.0,392.0,0.11989795918367346,0.00017152300819477893,0.507004549336456,0.004388574603724939,1173,192,134,False,False,False,False,False,False
101,95.0,967.0,0.09824198552223372,0.0002031196139185434,0.43799197827610536,0.004387225731284096,3446,551,287,False,False,False,False,False,False
103,76.0,825.0,0.09212121212121212,0.0001880267244636503,0.40579958933510707,0.004387898488534933,1854,294,192,False,False,False,False,False,False
104,39.0,577.0,0.06759098786828423,0.00021234023564843104,0.3771484144943931,0.0043867891240774795,2101,355,218,False,False,False,False,False,False
105,34.0,337.0,0.10089020771513353,0.00017401091457539648,0.5549856859722173,0.004388476660118897,1274,206,152,False,False,False,False,False,False
106,46.0,420.0,0.10952380952380952,0.000221285233731461,0.2959537971716479,0.004386347004072079,1944,307,204,False,False,False,False,False,False
107,58.0,415.0,0.13975903614457832,0.0002601175095572706,0.39215052609482637,0.004384215559940159,3184,527,317,False,False,False,False,False,False
123,52.0,392.0,0.1326530612244898,0.00017333268248270062,0.4390111825274232,0.0043885035007372435,1169,184,127,False,False,False,False,False,False
108,48.49561403508772,434.5285087719298,0.11446603795764047,0.0001579920317711197,0.47410505070273634,0.00438908255933931,1282,227,146,False,False,False,False,False,False
109,33.0,333.0,0.0990990990990991,0.00023311402065534647,0.3961685713527964,0.004385734265567579,2993,491,298,False,False,False,False,False,False
110,48.0,364.0,0.13186813186813187,0.00018466903790751024,0.3160468937938239,0.004388041082446473,1542,272,160,False,False,False,False,False,False
111,60.0,794.0,0.07556675062972293,0.00017155824387433713,0.5636474297204891,0.0043885732264323015,1785,287,173,False,False,False,False,False,False
113,38.0,357.0,0.10644257703081232,0.00021226708265208787,0.4143820696047625,0.004386792664398679,1832,306,206,False,False,False,False,False,False
169,37.0,387.0,0.09560723514211886,0.00021065537434442676,0.2340063159487956,0.004386870354598995,1372,222,165,False,False,False,False,False,False
114,51.0,396.0,0.12878787878787878,0.00020846091445016104,0.5382032712418126,0.004386975181368858,2608,444,262,False,False,False,False,False,False
115,51.0,354.0,0.1440677966101695,0.00017368447033639148,0.5775650985694432,0.004388489592053702,1997,321,206,False,False,False,False,False,False
116,48.49561403508772,434.5285087719298,0.11446603795764047,0.00017281340668873514,0.43320556269392424,0.004388523979798711,1189,196,140,False,False,False,False,False,False
117,53.0,399.0,0.13283208020050125,0.0002001158704098635,0.4649060726835253,0.004387363768051354,1688,281,184,False,False,False,False,False,False
118,48.49561403508772,434.5285087719298,0.11446603795764047,0.00014822526149047506,0.5759633094549225,0.004389423249887821,1194,200,136,False,False,False,False,False,False
2388,29.0,318.0,0.09119496855345911,5.349830563733004e-05,0.5306360179179802,0.004391599381329495,71,8,8,True,False,False,False,False,False
2389,24.0,314.0,0.07643312101910828,7.47040302444955e-05,0.4645445663296491,0.0043912898449846045,140,21,19,True,False,False,False,False,False
2390,27.0,305.0,0.08852459016393442,8.004636100133374e-05,0.4017701444574451,0.004391195711294376,139,20,19,True,False,False,False,False,False
119,31.0,522.0,0.05938697318007663,0.00018989999616806567,0.6588424007689236,0.004387817815982683,2425,383,251,False,False,False,False,False,False
120,80.0,818.0,0.097799511002445,0.00022771711366021858,0.3562348107175674,0.004386017796469359,2281,369,230,False,False,False,False,False,False
121,57.0,378.0,0.15079365079365079,0.0002196027846061063,0.28423811695660123,0.004386431557860323,1630,269,191,False,False,False,False,False,False
122,54.0,409.0,0.13202933985330073,0.00019307880660268158,0.39158685272068955,0.004387679086856803,1760,313,189,False,False,False,False,False,False
286,33.0,518.0,0.0637065637065637,0.00016911741581080277,0.37883319125923337,0.004388667963570399,858,149,104,False,False,False,False,False,False
2391,44.0,570.0,0.07719298245614035,7.203700624007079e-05,0.3596730284950942,0.00439133440591031,136,17,17,True,False,False,False,False,False
124,56.0,720.0,0.07777777777777778,0.00017750619652511583,0.45838173513298347,0.004388336671792044,1759,291,174,False,False,False,False,False,False
125,48.49561403508772,434.5285087719298,0.11446603795764047,0.00018770643050075575,0.33248316136994754,0.004387912201804903,1193,198,136,False,False,False,False,False,False
126,39.0,386.0,0.10103626943005181,0.00024515688002061525,0.25774008602748144,0.004385077570463064,2346,382,251,False,False,False,False,False,False
127,36.0,417.0,0.08633093525179857,0.0002799618764176667,0.34078449950635303,0.004382993103183302,4430,709,404,False,False,False,False,False,False
128,46.0,359.0,0.12813370473537605,0.00018048959959990953,0.45288924339409736,0.0043882149786941774,1156,193,142,False,False,False,False,False,False
129,28.0,325.0,0.08615384615384615,0.0002372133520498951,0.4421464150969749,0.004385514453334858,2916,488,276,False,False,False,False,False,False
130,53.0,411.0,0.12895377128953772,0.00019461620307389038,0.5662756848869269,0.0043876111642100635,1750,280,193,False,False,False,False,False,False
131,48.0,369.0,0.13008130081300814,0.00023591427268906322,0.3950327461684576,0.00438558452782993,3203,520,297,False,False,False,False,False,False
132,22.0,321.0,0.06853582554517133,0.0002100204517033911,0.4114542810507761,0.004386900797221885,2562,453,265,False,False,False,False,False,False
133,30.0,269.0,0.11152416356877323,0.00018131715632188533,0.3847268672960108,0.00438818086268365,1544,264,166,False,False,False,False,False,False
134,41.0,369.0,0.1111111111111111,0.00019776164771179681,0.3323701358763669,0.004387470515626743,1293,213,153,False,False,False,False,False,False
176,44.0,367.0,0.11989100817438691,0.0001676598720387454,0.3368464119514049,0.004388723887658876,1316,209,138,False,False,False,False,False,False
2392,45.0,360.0,0.125,7.914005645867227e-05,0.4165267049870828,0.004391212138608587,140,21,21,True,False,False,False,False,False
135,52.0,369.0,0.14092140921409213,0.00019107768703956164,0.5505710845314981,0.004387766688454993,2401,402,248,False,False,False,False,False,False
136,50.0,378.0,0.13227513227513227,0.00019857858107175151,0.3638307485896157,0.0043874336168128174,2073,346,199,False,False,False,False,False,False
137,47.0,416.0,0.11298076923076923,0.0002388542324665119,0.3760260744113881,0.004385425389906037,2603,441,262,False,False,False,False,False,False
138,52.0,384.0,0.13541666666666666,0.00019296235718030622,0.3979571464086035,0.004387684209638511,1695,287,179,False,False,False,False,False,False
260,61.0,385.0,0.15844155844155844,0.00016477542979344322,0.3387486398821019,0.0043888331310880414,1007,174,122,False,False,False,False,False,False
139,39.0,578.0,0.06747404844290658,0.00021735526057070336,0.31742659394278566,0.004386543500924382,2653,455,252,False,False,False,False,False,False
140,55.0,349.0,0.15759312320916904,0.0001795653671743235,0.4765552265578731,0.004388252895368636,1510,253,170,False,False,False,False,False,False
141,40.0,407.0,0.09828009828009827,0.00019788019753261103,0.26724556962369894,0.00438746517048559,1507,244,160,False,False,False,False,False,False
142,57.0,387.0,0.14728682170542637,0.00016398124775866024,0.6462253829871246,0.004388862876097086,2116,355,215,False,False,False,False,False,False
143,31.0,547.0,0.056672760511883,0.0002248747395329101,0.47245730904125616,0.0043861644458820384,3058,486,276,False,False,False,False,False,False
144,48.49561403508772,434.5285087719298,0.11446603795764047,0.00023672829894209546,0.44618625182262955,0.004385540663051666,2890,481,285,False,False,False,False,False,False
145,44.0,347.0,0.12680115273775217,0.00016273024840378589,0.6241436041032613,0.0043889094386936394,1386,219,154,False,False,False,False,False,False
146,36.0,372.0,0.0967741935483871,0.00021211761259404093,0.36709573075703544,0.004386799894368,1677,261,176,False,False,False,False,False,False
147,59.0,358.0,0.164804469273743,0.00021456541566197186,0.31580542278125756,0.004386680849708748,2030,326,212,False,False,False,False,False,False
148,52.0,392.0,0.1326530612244898,0.0002127577457994285,0.414059351853739,0.004386768894801962,1791,291,202,False,False,False,False,False,False
149,43.0,568.0,0.07570422535211267,0.00019699690252531808,0.39138955541859555,0.004387504919107797,1779,292,176,False,False,False,False,False,False
266,50.0,359.0,0.1392757660167131,0.00012520206169314548,0.6127433505492058,0.004390140275497752,1093,177,113,False,False,False,False,False,False
150,47.0,371.0,0.12668463611859837,0.00019654555989808304,0.5629765340832434,0.004387525160917489,2435,424,239,False,False,False,False,False,False
151,48.0,397.0,0.12090680100755667,0.00021004099691205837,0.22738970249618987,0.00438689981358315,1388,247,164,False,False,False,False,False,False
152,45.0,398.0,0.11306532663316583,0.00022929807797745748,0.3168252022985865,0.004385935428872102,2236,384,232,False,False,False,False,False,False
153,52.0,394.0,0.1319796954314721,0.00017404252714166966,0.4636040237772992,0.004388475406510311,1319,219,155,False,False,False,False,False,False
154,35.0,392.0,0.08928571428571429,0.0001985117457279459,0.3403950001049373,0.004387436641321188,1703,297,178,False,False,False,False,False,False
155,60.0,388.0,0.15463917525773196,0.0002458565514065211,0.42320195989737264,0.004385038397885492,3768,642,349,False,False,False,False,False,False
156,48.49561403508772,434.5285087719298,0.11446603795764047,0.00017197216139042953,0.5103765939152329,0.004388557026005975,2160,356,211,False,False,False,False,False,False
157,72.0,800.0,0.09,0.0002033935835695719,0.5606905334982438,0.004387213038474698,2143,349,224,False,False,False,False,False,False
158,14.0,350.0,0.04,0.00023478720501305363,0.3891524330060912,0.0043856450110744075,2969,466,276,False,False,False,False,False,False
159,52.0,387.0,0.1343669250645995,0.00017364738020397545,0.4355893378251703,0.004388491059823181,1246,211,147,False,False,False,False,False,False
160,42.0,391.0,0.10741687979539642,0.0001676659327204491,0.6978133715293906,0.004388723656121976,2114,387,234,False,False,False,False,False,False
161,48.49561403508772,434.5285087719298,0.11446603795764047,0.00019173153270138035,0.34214124868851653,0.004387738166090551,1629,277,171,False,False,False,False,False,False
162,46.0,368.0,0.125,0.00015533846396917253,0.4495957535403896,0.004389177275573564,1469,259,155,False,False,False,False,False,False
2393,38.0,448.0,0.08482142857142858,7.617051723813558e-05,0.41497970784170035,0.004391264652364209,132,21,20,True,False,False,False,False,False
163,33.0,545.0,0.060550458715596334,0.00018486152423634244,0.32784863266674663,0.0043880329775033275,1632,278,162,False,False,False,False,False,False
164,49.0,599.0,0.08180300500834725,0.00017519386774129234,0.404957950645485,0.004388429594229073,1508,258,164,False,False,False,False,False,False
165,55.0,398.0,0.13819095477386933,0.00020949607512955594,0.39176382472106663,0.004386925870048979,1566,269,175,False,False,False,False,False,False
166,48.49561403508772,434.5285087719298,0.11446603795764047,0.00016235589207876366,0.44256266625410473,0.004388923302941964,1063,178,131,False,False,False,False,False,False
167,41.0,363.0,0.11294765840220386,0.00021396153295775153,0.2821346878722114,0.004386710345716259,1940,311,191,False,False,False,False,False,False
168,49.0,400.0,0.1225,0.0002438766779661343,0.325936657175677,0.004385148955365587,3102,505,296,False,False,False,False,False,False
170,39.0,381.0,0.10236220472440945,0.00020237153208674025,0.2966666209494508,0.004387260302033668,1526,258,174,False,False,False,False,False,False
171,39.0,361.0,0.10803324099722991,0.0001580816487895145,0.4608293294359134,0.004389079332515609,873,143,103,False,False,False,False,False,False
172,45.0,340.0,0.1323529411764706,0.0001868440428102305,0.3512921954680175,0.004387949008188906,1580,255,165,False,False,False,False,False,False
173,43.0,399.0,0.10776942355889724,0.00019727208040285854,0.37705867371470914,0.00438749255510402,2842,492,257,False,False,False,False,False,False
174,88.0,923.0,0.09534127843986999,0.00019498967880686669,0.4838800860792775,0.004387594582451583,1750,282,177,False,False,False,False,False,False
175,48.49561403508772,434.5285087719298,0.11446603795764047,0.00024391495953824275,0.27069350324639724,0.004385146826197859,3476,595,323,False,False,False,False,False,False
2394,25.0,310.0,0.08064516129032258,7.218406490278563e-05,0.4393153731481394,0.004391331991044835,138,18,18,True,False,False,False,False,False
177,71.0,792.0,0.08964646464646464,0.00018112866040294489,0.5559541591900385,0.004388188647173264,2340,366,231,False,False,False,False,False,False
178,36.0,566.0,0.0636042402826855,0.00022906836855690184,0.3457796891398374,0.004385947432120722,2480,403,240,False,False,False,False,False,False
179,57.0,391.0,0.14578005115089515,0.00022883769668530135,0.45793909504841246,0.004385959473521781,2552,421,246,False,False,False,False,False,False
180,19.0,529.0,0.035916824196597356,0.00020547051331017618,0.4886942674699891,0.004387116258199656,3775,606,324,False,False,False,False,False,False
